INSERT INTO `order_contents` (`content_id`, `order_id`, `product_id`, `quantity`, `product_price`)
VALUES
	(1,1,1,2,3.99),
	(2,1,2,1,7.99),
	(3,2,13,1,10.99),
	(4,2,15,1,75.00),
	(5,2,17,1,12.75),
	(6,2,16,2,34.99),
	(7,3,19,1,54.99),
	(8,3,20,1,15.99),
	(9,3,21,2,90.00),
	(10,3,22,1,34.99),
	(11,4,7,1,32.00),
	(12,4,2,2,7.99),
	(13,4,21,1,90.00),
	(14,5,15,1,75.00),
	(15,5,20,3,15.99),
	(16,6,2,3,7.99),
	(17,7,13,4,10.99),
	(18,7,18,1,29.98),
	(19,8,5,1,19.99),
	(20,8,6,2,4.99),
	(21,8,23,1,9.99),
	(22, 9, 1, 1, 3.99),
(23, 9, 3, 2, 3.99),
(24, 9, 2, 2, 7.99),
(25, 9, 6, 4, 4.99),
(26, 9, 30, 4, 3.99),
(27, 10, 26, 1, 159.00),
(28, 11, 7, 1, 32.00),
(29, 11, 9, 1, 7.99),
(30, 11, 17, 1, 12.75),
(31, 12, 39, 1, 150.00),
(32, 13, 5, 1, 19.99),
(33, 13, 36, 1, 14.99),
(34, 13, 35, 6, 7.99),
(36, 14, 27, 1, 9.99),
(37, 14, 18, 1, 29.98),
(38, 14, 16, 1, 34.99),
(39, 15, 13, 6, 10.99),
(40, 16, 19, 1, 54.99),
(41, 16, 20, 4, 15.99),
(42, 16, 21, 2, 90.00),
(43, 17, 1, 12, 3.99),
(44, 18, 40, 1, 12.99),
(45, 18, 5, 2, 19.99),
(46, 18, 26, 1, 159.00),
(47, 19, 19, 3, 54.99),
(48, 20, 2, 1, 7.99),
(49, 20, 3, 1, 3.99),
(50, 21, 30, 3, 3.99),
(51, 22, 19, 2, 54.99),
(52, 22, 23, 3, 9.99);
